type,completed_at,session_number,duration_minutes,task,completed
Work,2025-05-20 16:29:16,1,0,,1
Short Break,2025-05-20 16:29:17,1,0,,1
Work,2025-05-20 16:29:18,2,0,,1
Short Break,2025-05-20 16:29:18,2,0,,1
Work,2025-05-20 16:29:19,3,0,,1
Work,2025-05-22 02:59:11,1,0,,1
Short Break,2025-05-22 02:59:14,1,0,,1
Work,2025-05-22 03:22:47,1,0,Trial_com_trial,1
Work,2025-05-22 03:23:49,1,0,Trial_com_trial,1
Work,2025-05-22 03:26:52,1,0,,0
Work,2025-05-22 03:27:20,1,0,Task_debug,1
Short Break,2025-05-22 03:27:23,1,0,Task_debug,1
Work,2025-05-22 03:27:26,2,0,Task_debug,1
Short Break,2025-05-22 03:27:29,2,0,Task_debug,1
Work,2025-05-22 03:27:33,3,0,Task_debug,1
Short Break,2025-05-22 03:27:36,3,0,Task_debug,1
Work,2025-05-22 03:27:37,4,0,Task_debug,0
Work,2025-05-22 03:30:13,1,0,Debug_task,1
Short Break,2025-05-22 03:30:14,1,0,Debug_task,1
Work,2025-05-22 03:30:15,2,0,Debug_task,1
Short Break,2025-05-22 03:30:16,2,0,Debug_task,1
Work,2025-05-22 03:30:17,3,0,Debug_task,1
Short Break,2025-05-22 03:30:18,3,0,Debug_task,1
Work,2025-05-22 03:30:19,4,0,Debug_task,1
Long Break,2025-05-22 03:30:20,1,0,Debug_task,1
Work,2025-05-22 03:33:47,1,0,Task_debug2,1
Short Break,2025-05-22 03:33:48,1,0,Task_debug2,1
Work,2025-05-22 03:33:49,2,0,Task_debug2,1
Short Break,2025-05-22 03:33:50,2,0,Task_debug2,1
Work,2025-05-22 03:33:51,3,0,Task_debug2,1
Short Break,2025-05-22 03:33:52,3,0,Task_debug2,1
Work,2025-05-22 03:33:53,4,0,Task_debug2,1
Long Break,2025-05-22 03:33:54,1,0,Task_debug2,1
Work,2025-05-22 03:33:55,5,0,Task_debug2,1
Short Break,2025-05-22 03:33:56,4,0,Task_debug2,1
Work,2025-05-22 03:33:57,6,0,Task_debug2,1
Short Break,2025-05-22 03:33:58,5,0,Task_debug2,1
Work,2025-05-22 03:33:59,7,0,Task_debug2,1
Short Break,2025-05-22 03:34:00,6,0,Task_debug2,1
Work,2025-05-22 03:34:01,8,0,Task_debug2,1
Long Break,2025-05-22 03:34:02,2,0,Task_debug2,1
Work,2025-05-22 03:37:49,1,0,Task_debug2,1
Work,2025-05-22 03:39:36,1,0,Task_debug2,1
Short Break,2025-05-22 03:39:44,1,0,Task_debug2,1
Work,2025-05-22 03:39:44,2,0,Task_debug2,1
Short Break,2025-05-22 03:39:45,2,0,Task_debug2,1
Work,2025-05-22 03:39:45,3,0,Task_debug2,1
Short Break,2025-05-22 03:39:45,3,0,Task_debug2,1
Work,2025-05-22 03:39:45,4,0,Task_debug2,1
Long Break,2025-05-22 03:39:48,1,0,,1
Work,2025-05-22 03:39:48,5,0,,1
Short Break,2025-05-22 03:39:50,4,0,,1
Work,2025-05-22 03:39:50,6,0,,1
Short Break,2025-05-22 03:39:53,5,0,,1
Work,2025-05-22 03:39:53,7,0,,1
Short Break,2025-05-22 03:40:03,6,0,,1
Work,2025-05-22 03:40:03,8,0,,1
Long Break,2025-05-22 03:40:04,2,0,,1
Work,2025-05-22 03:40:05,9,0,,1
Work,2025-05-22 11:25:49,1,0,,1
Work,2025-05-22 11:25:56,2,0,,0
Work,2025-05-22 11:25:59,1,0,,1
Work,2025-05-22 11:26:49,1,0,Task_debug,1
Work,2025-05-22 11:27:12,1,0,,1
Work,2025-05-22 11:27:36,1,0,,1
Work,2025-05-22 11:28:50,1,0,,1
Work,2025-05-22 11:53:09,1,0,,1
Short Break,2025-05-22 11:53:14,1,0,,1
Work,2025-05-22 11:53:14,2,0,,1
Short Break,2025-05-22 11:53:14,2,0,,1
Work,2025-05-22 11:53:14,3,0,,1
Short Break,2025-05-22 11:53:15,3,0,,1
Work,2025-05-22 11:53:15,4,0,,1
Long Break,2025-05-22 11:53:15,1,0,,1
Work,2025-05-22 11:53:15,5,0,,1
Short Break,2025-05-22 11:53:21,4,0,,1
Work,2025-05-22 11:53:21,6,0,,1
Short Break,2025-05-22 11:53:31,5,0,,1
Work,2025-05-22 11:53:31,7,0,,1
Short Break,2025-05-22 11:53:33,6,0,,1
Work,2025-05-22 11:53:33,8,0,,1
Long Break,2025-05-22 11:53:34,2,0,,1
Work,2025-05-22 11:53:34,9,0,,1
Short Break,2025-05-22 11:53:35,7,0,,1
Work,2025-05-22 11:53:35,10,0,,1
Short Break,2025-05-22 11:53:36,8,0,,1
Work,2025-05-22 11:53:36,11,0,,1
Short Break,2025-05-22 11:53:37,9,0,,1
Work,2025-05-22 11:53:37,12,0,,1
Work,2025-05-22 11:58:08,1,0,Some task,1
Short Break,2025-05-22 11:58:10,1,0,,1
Work,2025-05-22 11:58:11,2,0,,1
Short Break,2025-05-22 11:58:13,2,0,,1
Work,2025-05-22 11:58:13,3,0,,1
Short Break,2025-05-22 11:58:16,3,0,,1
Work,2025-05-22 11:58:16,4,0,,1
Long Break,2025-05-22 11:58:17,1,0,,1
Work,2025-05-22 11:58:18,5,0,,1
Short Break,2025-05-22 11:58:21,4,0,,1
Work,2025-05-22 11:58:21,6,0,,1
Short Break,2025-05-22 11:58:23,5,0,,1
Work,2025-05-22 11:58:23,7,0,,1
Short Break,2025-05-22 11:58:25,6,0,,1
Work,2025-05-22 11:58:25,8,0,,1
Long Break,2025-05-22 11:58:29,2,0,,1
Work,2025-05-22 11:58:29,9,0,,1
Short Break,2025-05-22 11:58:42,7,0,,1
Work,2025-05-22 11:58:42,10,0,,1
Short Break,2025-05-22 11:58:42,8,0,,1
Work,2025-05-22 11:58:42,11,0,,1
Short Break,2025-05-22 11:58:42,9,0,,1
